<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.08.07	15:50:00	102580	102580	102540	102560	6	16	5
2020.08.07	15:52:00	102560	102560	102560	102560	1	1	5
2020.08.07	15:56:00	102640	102640	102640	102640	2	3	5
2020.08.07	16:02:00	102630	102630	102630	102630	6	7	5
2020.08.07	16:10:00	102600	102675	102500	102665	7	16	5
2020.08.07	16:16:00	102810	102810	102810	102810	1	1	5
2020.08.07	16:22:00	102815	102815	102815	102815	1	1	5
2020.08.07	16:24:00	102840	102920	102840	102920	5	6	5
2020.08.07	16:30:00	102740	102740	102740	102740	1	1	5
2020.08.07	16:32:00	102795	102840	102790	102840	4	8	5
2020.08.07	16:36:00	102930	102960	102930	102960	6	12	5
2020.08.07	16:38:00	102910	102930	102910	102930	3	3	5
2020.08.07	16:40:00	102955	102955	102955	102955	1	1	5
2020.08.07	16:46:00	103000	103000	103000	103000	10	10	5
2020.08.07	16:48:00	103020	103050	103020	103050	2	2	5
2020.08.07	16:52:00	103155	103155	103155	103155	4	5	5
2020.08.07	16:54:00	103230	103230	103115	103115	5	5	5
2020.08.07	16:58:00	103190	103190	103190	103190	2	10	5
2020.08.07	17:00:00	103135	103160	103065	103150	35	54	5
2020.08.07	17:02:00	103110	103115	103110	103115	18	36	5
2020.08.07	17:04:00	103100	103140	103075	103100	28	48	5
2020.08.07	17:06:00	103100	103120	103100	103105	34	61	5
2020.08.07	17:08:00	103110	103110	103040	103040	17	28	5
2020.08.07	17:12:00	102920	102985	102915	102935	13	35	5
2020.08.07	17:14:00	102925	102950	102920	102920	22	193	5
2020.08.07	17:16:00	103025	103035	103025	103025	10	17	5
2020.08.07	17:24:00	103015	103015	103015	103015	1	1	5
2020.08.07	17:26:00	103025	103025	103025	103025	1	1	5
2020.08.07	17:28:00	103095	103105	103095	103095	16	40	5
2020.08.07	17:34:00	103050	103050	103035	103035	8	21	5
2020.08.07	17:36:00	102995	102995	102995	102995	2	5	5
2020.08.07	17:40:00	102970	102970	102970	102970	4	10	5
2020.08.07	17:42:00	103000	103000	103000	103000	1	32	5
2020.08.07	17:44:00	102960	102960	102940	102940	4	23	5
2020.08.07	17:50:00	103035	103035	103000	103000	13	100	5
2020.08.07	17:52:00	103000	103050	103000	103050	17	126	5
2020.08.07	17:54:00	103070	103070	103045	103045	4	6	5
